device=cuda num_workers=4 step=0 target_step=50000 lambda_future=0.1 run_dir=/content/mini-wam-work/future-aware-seed0-w4
step=1000 train_total=0.024132 val_total=0.084159 val_action=0.077872 val_future=0.062870
step=2000 train_total=0.013641 val_total=0.077148 val_action=0.073103 val_future=0.040455
device=cuda num_workers=4 step=2000 target_step=50000 lambda_future=0.1 run_dir=/content/mini-wam-work/future-aware-seed0-w4
step=3000 train_total=0.008323 val_total=0.072718 val_action=0.069062 val_future=0.036560
step=4000 train_total=0.005702 val_total=0.070488 val_action=0.067175 val_future=0.033138
step=5000 train_total=0.004955 val_total=0.068424 val_action=0.065175 val_future=0.032488
step=6000 train_total=0.004825 val_total=0.068184 val_action=0.064970 val_future=0.032137
step=7000 train_total=0.004790 val_total=0.069502 val_action=0.066247 val_future=0.032549
step=8000 train_total=0.003778 val_total=0.069510 val_action=0.066341 val_future=0.031688
step=9000 train_total=0.003397 val_total=0.069575 val_action=0.066448 val_future=0.031277
step=10000 train_total=0.003124 val_total=0.069551 val_action=0.066410 val_future=0.031418
step=11000 train_total=0.003146 val_total=0.068830 val_action=0.065756 val_future=0.030737
step=12000 train_total=0.002987 val_total=0.067728 val_action=0.064644 val_future=0.030836
step=13000 train_total=0.003028 val_total=0.068605 val_action=0.065505 val_future=0.030996
step=14000 train_total=0.002673 val_total=0.066866 val_action=0.063756 val_future=0.031092
step=15000 train_total=0.002144 val_total=0.067380 val_action=0.064311 val_future=0.030687
step=16000 train_total=0.002273 val_total=0.067182 val_action=0.064137 val_future=0.030454
step=17000 train_total=0.002056 val_total=0.068966 val_action=0.065899 val_future=0.030674
step=18000 train_total=0.001920 val_total=0.066475 val_action=0.063417 val_future=0.030585
step=19000 train_total=0.001754 val_total=0.066626 val_action=0.063599 val_future=0.030270
step=20000 train_total=0.001824 val_total=0.065849 val_action=0.062779 val_future=0.030707
step=21000 train_total=0.001654 val_total=0.065892 val_action=0.062843 val_future=0.030489
step=22000 train_total=0.001572 val_total=0.066577 val_action=0.063480 val_future=0.030967
step=23000 train_total=0.001506 val_total=0.065588 val_action=0.062521 val_future=0.030666
step=24000 train_total=0.001412 val_total=0.067819 val_action=0.064721 val_future=0.030978
step=25000 train_total=0.001396 val_total=0.065827 val_action=0.062727 val_future=0.030993
step=26000 train_total=0.001361 val_total=0.065824 val_action=0.062689 val_future=0.031352
device=cuda num_workers=4 step=25000 target_step=50000 lambda_future=0.1 run_dir=/content/mini-wam-work/future-aware-seed0-w4
step=26000 train_total=0.001360 val_total=0.065950 val_action=0.062819 val_future=0.031311
step=27000 train_total=0.001290 val_total=0.066764 val_action=0.063651 val_future=0.031125
step=28000 train_total=0.001195 val_total=0.066385 val_action=0.063293 val_future=0.030917
step=29000 train_total=0.001209 val_total=0.066068 val_action=0.062971 val_future=0.030975
step=30000 train_total=0.001151 val_total=0.065934 val_action=0.062810 val_future=0.031243
step=31000 train_total=0.001113 val_total=0.065826 val_action=0.062704 val_future=0.031213
step=32000 train_total=0.001079 val_total=0.065861 val_action=0.062744 val_future=0.031169
step=33000 train_total=0.001051 val_total=0.066120 val_action=0.062986 val_future=0.031339
step=34000 train_total=0.001093 val_total=0.065017 val_action=0.061893 val_future=0.031239
step=35000 train_total=0.000901 val_total=0.065071 val_action=0.061924 val_future=0.031463
step=36000 train_total=0.000953 val_total=0.065348 val_action=0.062195 val_future=0.031533
step=37000 train_total=0.000953 val_total=0.065200 val_action=0.062047 val_future=0.031530
step=38000 train_total=0.000906 val_total=0.065238 val_action=0.062067 val_future=0.031706
step=39000 train_total=0.000916 val_total=0.065714 val_action=0.062540 val_future=0.031734
step=40000 train_total=0.000875 val_total=0.065150 val_action=0.061975 val_future=0.031753
step=41000 train_total=0.000884 val_total=0.065382 val_action=0.062211 val_future=0.031709
step=42000 train_total=0.000820 val_total=0.065469 val_action=0.062285 val_future=0.031846
step=43000 train_total=0.000873 val_total=0.065624 val_action=0.062439 val_future=0.031850
step=44000 train_total=0.000823 val_total=0.065342 val_action=0.062156 val_future=0.031859
step=45000 train_total=0.000844 val_total=0.065329 val_action=0.062138 val_future=0.031909
step=46000 train_total=0.000931 val_total=0.065546 val_action=0.062357 val_future=0.031898
step=47000 train_total=0.000810 val_total=0.065454 val_action=0.062263 val_future=0.031906
step=48000 train_total=0.000851 val_total=0.065384 val_action=0.062197 val_future=0.031866
step=49000 train_total=0.000853 val_total=0.065407 val_action=0.062222 val_future=0.031850
step=50000 train_total=0.000836 val_total=0.065370 val_action=0.062183 val_future=0.031872
completed target step 50000
